,api_name,api_description,input,example,error
18,hm_baglist_byconfig,"Description
This command gets the list of bags in the model with configuration
          config.
","Inputs

config
The bag configuration. See *bagcreate for a list of bag
            configurations.
list_type
The type of list to generate (name or ID).

","Examples
To get a list of the all bag names of configuration 9 (ADMPart):
hm_baglist_byconfig 9 name
To get a list of the all bag IDs of configuration 10 (ADMMaterial):
hm_baglist_byconfig 10 id
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
19,hm_cardimageassignedtoentity,"Description
Returns 1 if a card can be assigned to the entities on the mark for the current template, 0
        otherwise.
","
Inputs



entity_type

The type of entity to query.

mark_id

The ID of the mark of entities to query.  Valid values are 1 and 2.

","Examples
To query components 100 and 101:
*createmark comps 1 100 101
hm_getimageassignedtoentity comps 1
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
20,hm_ce_cfglistget,"Description
Returns info on FE configurations for a specified solver, connector style and FE config
        file.
","Inputs

solver_name
The name of the solver to query. Examples include nastran, abaqus, lsdyna, etc.
style
The connector style name. Valid values are area, bolt, mass, seam and spot.
filename
The full path and filename of the FE config file. If not specified, the current. 

","Examples
To get the FE config list for Nastran spot connectors from the
        file C:/temp/feconfig.cfg:
hm_ce_cfglistget nastran spot C:/temp/feconfig.cfg
To get all current FE configs for Nastran spot connectors:
hm_ce_cfglistget nastran spot """"
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
21,hm_ce_checkprojection,"Description
Check if the connectors make projection. Returns the failed connector IDs.
","Inputs

ce_mark
Mark of connectors
tolerance
Tolerance value

","Example
To check if the entities to connect can be found in the specified tolerance range:
*createmark connectors 1 ""displayed"" 
set tolerance 8.0;
set ce_ids [ hm_ce_checkprojection 1 $tolerance];
The check is performed only for meshed components and surfaces added to connector.
","Errors
None.
"
22,hm_ce_datalist,"Description
Returns, in a list, all connector data displayed in the table for a single connector on
        mark and as a list of lists for multiple connectors.
","Inputs

ce_mark
The mark of connector entity(s).

","Example
To obtain connector information for connectors 1 and 2:
*createmark connectors 1 1 2;
set ce_data_list [ hm_ce_datalist 1 ];
foreach ce_data $ce_data_list {
   puts $ce_data; 
}
This function returns a list of lists containing connector data. Each list contains
        information about a single connector. The information contained in a single list is shown in
        the following order,
{ID Thickness Component Location_Entity Config Link1_info Link2_Info State}

Component
The name of the component that contains the connector.


Location_Entity
A string that specifies if the connector was created at a node/point or line.


Link_Info
The link entity information contains entity type, entity ID/name, entity rule, and
            entity state. For more information, see Connector Terminology.
              Link_Info is repeated for each link stored in the connector.


State
Specifies the realization state of a connector.

","Errors
None.
"
23,hm_ce_errorreport ,"Description
Returns the specific reason for the failed realization of a connector.
","Inputs

ce_id
The ID of the connector entity.
reportFlag
0 returns one of the failure criteria. 
1 returns all the causes for failed realization.

","Examples
To obtain a simple report for failed realization for a connector with ID 10:
set ce_id 10;
set single_err_report [ hm_ce_errorrepot $ce_id 0 ];
To get a detailed report returned as list of lists for connector with ID 10:
set ce_id 10;
	set detail_err_report [ hm_ce_errorrepot $ce_id 1 ];
This function returns a report only for the failed connectors. The state of the connector
        can be looked up using the connection information table. All failed connectors are marked
        red.
","Errors
None.
"
24,hm_ce_fedata ,"Description
Returns the weld config or the tolerance set to realize a connector.
","Inputs

ce_id
The ID of the connector.
function
One of three possible strings: 
configval - returns the configuration number 
configname - returns the configuration name 
tolerance - returns the realization tolerance

","Example
To get the current weld config set for connector with ID 1:
set ce_id 1;
set config [ hm_ce_fedata $ce_id ""configval"" ];
Currently only configval and tolerance are supported
        for the connector.
","Errors
None.
"
25,hm_ce_generatenamefrominclude,"Description
Returns a name using a base name and connector include ID.
This returns a string like <base_name>_inc<ID> where ID is the include ID of the
        connector.
","
Inputs


id
The ID of the connector to query.
base_name
The base name to append.

","Examples
To generate a name for connector 2 and the base ""hexa_comp"":
hm_ce_generatenamefrominclude 2 ""hexa_comp""
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
26,hm_ce_getallfe,"Description
Returns specific FE entity type and ID(s) from a realized connector. 
","Inputs

ce_id
The ID of the connector.

","Example
To get all the realized FE types and IDs from the displayed connectors:
*createmark connectors 1 ""displayed""
set ce_list [ hm_getmark connectors 1 ];
foreach ce_id $ce_list {
     set ce_fes [ hm_ce_getallfe $ce_id ];
     puts  $ce_id  $ce_fes;
}
This function returns a list of lists that contain the realized FE from the connector
        entity. If the realized FE of the connector consists of only elements, the main list will
        contain only one sub-list: { {elems id1 id2 …} } . If the realized FE has both elements and
        systems, the main list will contain two sub-lists: { {elems id1 id2 …} and {systs id1 id2 …}
        }
","Errors
None.
"
27,hm_ce_getconfigfromconnectorcontrol,"Description
Gets the FE config name from a connector control or connector control default.
","
Inputs


entity_type
The type of entity to query.  Valid values are connectorcontrol and
            connectorcontroldefault.
name
The name of the entity to query.

","Examples
Get the FE config name from connectorcontroldefault
        rbe3_(load_transfer)_spot_nastran_template:
set fe_config [hm_ce_getconfigfromconnectorcontrol connectorcontroldefault ""rbe3_(load_transfer)_spot_nastran_template""]
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
28,hm_ce_getconnectorcontrollist,"Description
Returns a list of connector controls or connector control defaults for a given solver and
        style.
","
Inputs


solver
The solver name.
style
The connector style.  Valid values are app_mass, area, bolt, seam and spot.
option
0 - Return both connector control and connector control default
1 - Return connector control default only
2 - Return connector control only

","Examples
To get connector control for solver nastran and style spot:
set ctrl_list [hm_ce_getconnectorcontrollist nastran spot 2]
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
29,hm_ce_getdefaultconnectorcontrolfromconfig,"Description
Returns the connector control default name and ID for an FE config.
","
Inputs


solver
The solver name.
style
The connector style. Valid values are app_mass, area, bolt, seam and spot.
feconfig
The FE config name

","Examples
Return the connector control default for solver nastran, style spot, and FE config ""rbe3
        (load transfer)"":
set ctrl_info [hm_ce_getdefaultconnectorcontrolfromconfig nastran spot ""rbe3 (load transfer)""]
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
30,hm_ce_getfe,"Description
Returns specific weld ID(s) from a realized connector.
","Inputs

ce_id
The ID of the connector entity.
ent_type
The type of entity (ELEMS, EQUATIONS, etc).
config
The weld configuration (spring - 21, weld - 3).
type
The type of weld from template (CBSUH - 6).

","Example
To get element config spring of type CBUSH from a connector of ID 1:
*createmark connectors 1 ""displayed""
set config 21;
set type 6;
set ce_list [ hm_getmark connectors 1 ];
foreach ce_id $ce_list {
  if { $ce_id == 1 } {
     set cbush_id [ hm_ce_getfe $ce_id ELEMENTS $config $type ];
     break;
 }
}
The function will return either a list of values or a single value.
","Errors
None.
"
31,hm_ce_getfeprojtrip,"Description
Returns the connector projection data for a specific layer. This includes the node ID,
        element ID, u, v, and list of weld node IDs.
This function should only be called from within a connector-registered property script. The
        projection data this function relies upon is removed immediately after connector FE
        realization.
This function is useful if the weld element card requires any of the above parameters. The
        node ID is one of the nodes of the weld, the elem ID is the element that the weld is
        connecting, and u and v give the coordinates of the weld node with respect to the elements
        face.
","Inputs

index
The index of interest in the array (corresponds to a weld).
layer
0 - Return the dependent layer
1 - Return the independent layer

","Example
To get the projection information for the independent layer from the projection data array
        for index 10:
set proj_data [ hm_ce_getfeprojtrip $index $layer];
set nodeid [ lindex $proj_data 0 ];
set elemid [ lindex $proj_data 1 ];
set u [ lindex $proj_data 2 ];
set v [ lindex $proj_data 3 ];
set weld_nodes [ lindex $proj_data 4 ];
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
32,hm_ce_getglobalsharedentitysettings,"Description
Gets the global shared entity management settings.  These settings affect the shared entity
        management auto-registration process and the shared entity cleanup process during various
        operations.
","Inputs

setting
The name of the setting to query.  See
              *CE_SetGlobalSharedEntitySettings for a list of valid
            settings.

","Example
To get the value of the auto_register setting:
hm_ce_getglobalsharedentitysettings ""auto_register""
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
33,hm_ce_getlinkentities,"Description
Returns specific type of entities IDs that are added to a connector. 
","Inputs

ce_id
The ID of the connector.
ent_type
Specific entity type required.

","Example
To get all the component IDs added to connector of ID 10:
*createmark connectors 1 ""by comp"" ce_component;
set ce_list [ hm_getmark connectors 1 ];
foreach ce_id $ce_list {
    if { $ce_id == 10 } {
         set comp_list [ hm_ce_getlinkentities $ce_id COMPONENTS ];
         break; 
    }
}
The function will return a list with single or multiple entity IDs. 
","Errors
None.
"
34,hm_ce_getlinkinfo,"Description
Returns link info for a connector including entity type, IDs/names, locator rule and
        XYZs.
","Inputs

id
The ID of the connector to query.
index
The index of the link on the connector.

","Example
To get link information for connector ID 1 for all links:
set ce_id 1
set num_ents [hm_ce_numlinkentities $ce_id]
for {set count 0} {$count <= $num_ents} {incr count} {
foreach {type info state rule} [hm_ce_getlinkinfo $ce_id $count] {
lappend linkArray($type) $info
}
}
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
35,hm_ce_getprojcompid,"Description
Returns the component ID for the projection data layer of interest. 
","Inputs

index
The index of interest in the array (corresponds to a weld).
layer
The independent (= 1) or the dependent (= 0) layer the weld connects.

","Example
To get the component ID for index 5 and independent layer:
set comp_id [ hm_ce_getprojcompid 5 1];
This function should only be called from within a connector-registered property script
        (which is executed during connector FE realization). The projection data this function
        relies upon is removed immediately after connector FE realization. 
The component corresponds to the part the weld is connecting at that location.
",
36,hm_ce_getprojfe,"Description
Returns the weld data list (types and IDs) for the given projection array index and weld
        array index.
This should only be called from within a connector-registered property script (which is
        executed during connector FE realization). The projection data this function relies upon is
        removed immediately after connector FE realization. 
The list will contain all the welds and rigids created for that layer.
","Inputs

proj_idx
The index of interest from the projection data array.
weld_idx
The index of interest from the weld data array.

","Example
To get the type of weld element and its ID for projection array index 2 and weld array
        index 1:
set num_projs [hm_ce_getnumoffeprojinfo];
for {set pidx 0} {$pidx < $num_projs} {incr pidx} {
    if { $pidx == 2 } {
        set num_welds [hm_ce_getprojfesize $pidx];
        for {set widx 0} {$widx < $num_welds} {incr widx} {
            if {$widx == 1} {
                set weld_data_list [hm_ce_getprojfe $pidx $widx];
            }
        }
    }
}
 To get a specific config and type from the information:
set num_data [llength $weld_data_list];
for {set didx 0} {$num_data < $didx} {incr didx} {
    set entity [lindex $weld_data_list 0];
    set id [lindex $weld_data_list 1];
    # If elements
    if {$entity == 2} {
        set config [hm_getvalue elems id=$id dataname=config];
        set type [hm_getvalue elems id=$id dataname=type];         
    }
}
",
37,hm_ce_getprojnodeid,"Description
This command returns the node ID for the projection data layer of interest. The node
        corresponds to the part the weld is connecting at that location. 
This function should only be called from within a connector-registered property script
        (which is executed during connector FE realization). The projection data this function
        relies upon is removed immediately after connector FE realization.
","Inputs

index
The index of interest in the array (corresponds to a weld).
layer
The independent (1) or the dependent (0) layer the weld connects.

","Example
To get the projection node ID for index 5 and independent layer (1):
set num_of_projs [hm_ce_getnumoffeprojinfo];
set layer 1;
foreach index $num_of_projs {
     if {$index == 5} {
         set node_id [hm_ce_getprojnodeid $index $layer];
         break;
     }
}
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
38,hm_ce_getsolverprojectionbymark,"Description
Returns the solver projection data.  The data is returned as a list of lists
        containing:
{node_id, {x, y, z}, elem_id}
 where {x, y, z} is the coordinates of the projection point.
","
Inputs



entity_type1

The first entity type.  Valid values are nodes and elems.

mark_id1

The ID of the first mark of entities.  Valid values are 1 and 2.

entity_type2

The second entity type.  Valid values are comps and elems.

mark_id2

The ID of the second mark of entities.  Valid values are 1 and 2.

option

0 - use_RBE_only=0
1 - use_RBE_only=1
2 - use_RBE_only=2
3 - use_RBE_only=3

solver_id

Must be set as 12 for OptiStruct.

","Examples
To query the projections for nodes 1-10 and comps 3 and 4:
*createmark nodes 1 1-10;
*createmark comps 2 3 4;
set node_prj_pairs [hm_ce_getsolverprojectionbymark nodes 1 comps 2 0 12];
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
39,hm_ce_getthickness,"Description
Gets the total number of layers to be connected.
","Inputs

ce_id
The ID of the connector.

","Example
To find out if the definition at the connector is 2T/3T/nT:
set ce_id [ hm_entitymaxid CONNECTORS];
set T [ hm_ce_getthickness $ce_id ];
The total thickness will influence the number of welds created at a connector.
",
40,hm_ce_getvalidabsolutepath,"Description
Returns a valid absolute path from a relative path. Returns an empty string if the relative
        path could not be converted into a valid absolute path.
","Inputs

relative_path
The relative path of the file/folder. Supported relative path tags: 
[ALTAIR_HOME] - Current installation base directory.
[CURRENTWORKINGDIR] - Current working directory. 
[EXECUTABLEDIR] - Full directory path of the application’s executable.
[hm_scripts_dir] - HM scripts directory. 
[HW_CONFIG_PATH] - Paths in HW_CONFIG_PATH environment variable.
[USER_HOME] - User home directory.

","Example
To get the absolute path for the user home relative path:
hm_ce_getvalidabsolutepath {[USER_HOME]/Some_Folder/Some_File.txt}
Returns: {C:/Users/username/Some_Folder/Some_File.txt}
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
41,hm_ce_imprintelemsget,"Description
Returns imprinted elements for a connector.
","
Inputs


id
The ID of the connector to query.
reserved
Reserved for future use, must be set to 0.

","Examples
To get imprinted elements from the connector with ID 101:
set imprinted_elems [hm_ce_imprintelemsget 101 0]
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
42,hm_ce_linkprojectionorderget,"Description
Returns ordered projection information from links of spot connectors.
","
Inputs


mark_or_id
The mark ID or connector ID to query.
option
0 - Return stored projection information with spot connector(s)
1 - Redo projection for spot connector(s) and return projection information
flag
id - mark_or_id is an ID
mark - mark_or_id is a mark

","Examples
To get projection information from spot connector of ID 101:
set proj_infos [hm_ce_linkprojectionorderget 101 1 id]
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
43,hm_ce_mesh_imprint_option_set,"Description
Sets a mesh imprint option value.
","Inputs

name
Valid names are: 
avoid_imprint - If enabled, create patches and resolve conflicts, skip mesh imprint. 
avoid_int_snapping - If enabled, avoid snapping in meshing side. 
keep_snap - If enabled, do snapping during patch creation. 
skip_imprint - If enabled, just create patches, skip mesh imprint. 
skip_overlap_check - If enabled, skip conflict checks. 
strict_imprint - If enabled, any conflict causes an error.
value
The value of the option, 0 or 1.

","Example
To set the value of avoid_imprint to 1:
hm_ce_mesh_imprint_option_set avoid_imprint 1
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
