,api_name,api_description,input,example,error
119,*CE_ConnectorSetVectorByMark,"Description
Set projection vector for connectors specified by mark. 
","Inputs

markmask
The mark of the connectors.
type
The method to set the vector: 
0 - use i (see next argument). 
1 - use j (see next argument). 
2 - use k (see next argument).
i
1st of 3 float number defining a vector.
j
2nd of 3 float number defining a vector.
k
3rd of 3 float number defining a vector.
vector
HyperMesh Vector entity ID.
node1
1st node ID to define a vector in HyperMesh.
node2
2nd node ID to define a vector in HyperMesh

","Examples
To set a projection vector for connector 1, 2, 3 using vector
        3:*createmark(connectors, 1) 1, 2, 3
*CE_ConnectorSetVectorByMark(1, 1, 0, 0, 0, 3, 0, 0) 
Projection vector for a connector will be used during realization process.
",
120,*CE_ConnectorTrimAdvanced,"Description
longDescription
","
Inputs


style
The style of connectors to edit. Valid values are area, seam and spot.
mark_id
The ID of the mark of connectors. Valid values are 1 and 2.
node_mark_id
The ID of the mark of nodes. Valid values are 1 and 2.
tolerance
The tolerance value used to snap the nodes to the point of spot connectors when
              snap is 1.
snap
0 - Do not snap nodes to spot connectors
1 - Snap nodes to spot connectors
mode1
0 - Split
1 - Trim
mode2
0 - None
1 - Create trim/split connector with location node entities
2 - Create trim/split connectors with location line entities

","Examples
To split spot connector 101 using node
        1001:*createmark connectors 1 101
*createmark nodes 1 1001
*CE_ConnectorTrimAdvanced spot 1 1 0.5 1 0 0
To trim seam connector 102 using node
        1002:*createmark connectors 1 102
*createmark nodes 1 1002
*CE_ConnectorTrimAdvanced seam 1 1 0.5 1 1 0
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
121,*CE_ConvertByMark,"Description
Converts between bolt and spot connectors.
","Inputs

mark_id
The ID of the mark containing the connectors to convert. Valid values are 1 and 2.
source_style
The source connector style.
spot
bolt
target_style
The target connector style.
spot
bolt
reserved1
Reserved for future use. Must be set to 0.
reserved2
Reserved for future use. Must be set to 0.

","Examples
To convert spot connectors 101 and 102 to bolt
        connectors:*createmark connectors 1 101 102
*CE_ConvertByMark 1 ""spot"" ""bolt"" 0 0
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
122,*CE_ConvertLinksByMark,"Description
Converts connector links to a new entity type.
","Inputs

mark_id
The ID of the mark containing the connectors to update. Valid values are 1 and 2.
target_entity_type
The entity type to which the link is converted. Valid values are:
comps
props 
parts
link_index
The index of the link to be converted, starting from 0.
-1 - all links are converted
?target_link_rule?
The optional rule to set for the converted link entity. Valid rules are:
0 - Undefined
1 - None
2 - Use ID
3 - Use name
4 - Proximity
5 - Use UID
?target_link_state?
The flag to set for the link entity that specifies if you are connecting to mesh or to
            geometry. The supported values are:
0 - Undefined
1 - Connect to mesh
2 - Connect to geometry
?keep_current_state?
Optional option to keep the current connector state after the update operation. Valid
            states are:
0 - Unrealize if needed (default)
1 - Keep current state

","Examples
To convert all displayed connectors at link index 0 to part
        links:*createmark connectors 1 displayed
*CE_ConvertLinksByMark 1 parts 0
To convert all links of connector 3 to part
        links:*createmark connectors 1 3
*CE_ConvertLinksByMark 1 parts -1
To convert all links of displayed connectors to part links using the UID
        rule:*createmark connectors 1 displayed
*CE_ConvertLinksByMark 1 parts -1 5
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
123,*CE_CreateNodeOnSpotConnector,"Description
Creates a node on a spot line connector at a given position.  This node can then be used to
        trim the spot line connector at that location. To create a node with a mouse click on a
        connector, the x, y, and z values
        should all be passed as -1.
","
Inputs


mark_id
The ID of the mark of spot line connectors to trim.  Valid values are 1 and 2.
x
The x position on the spot line connector.
y
The y position on the spot line connector.
z
The z position on the spot line connector.

","Examples
To create a temp node on spot line connector 101 at (100, 50,
        50):*createmark connectors 1 101
*CE_CreateNodeOnSpotConnector 1 100 50 50
To create a temp node on spot line connector 101 at a mouse click
        position:*createmark connectors 1 101
*CE_CreateNodeOnSpotConnector 1 -1 -1 -1
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
124,*CE_DetailDeleteByMark,"Description
Delete connector details (stored in connector metadata) from connectors specified by mark. 
","Inputs

markmask
Mark containing the connectors to delete details from.
detailType
Detail type to delete: 
int
uint
double
string
triple
detailName
The name of the detail to delete.
unknownFlag
For future use (must be 0).

","Examples
To delete user defined integer detail named ""test"" for connectors 1,
        2:*createmark(connectors, 1) 1, 2
*CE_DetailDeleteByMark(1, int, ""test"", 0)
The following commands can be used to set user-defined
        details:*CE_DetailSetUint()
*CE_DetailSetInt()
*CE_DetailSetDouble()
*CE_DetailSetString()
*CE_DetailSetTriple()
",
125,*CE_DetailSetDouble,"Description
Sets a double connector detail for a single connector.
","Inputs

connector_id
The ID of connector to update.
detail_name
The name of the standard double detail, or user-defined double detail, to update.
            Standard double details include:
ce_appliedmass
The mass value to be applied.
Value ≥ 0
ce_areaconstthickness
The constant thickness (for area connectors).
Value ≥ 0
ce_aspect
Fail hexas with aspect ratio greater than this value.
Value ≥ 0
ce_bl_connection_ang
The maximum angle allowed between two shells for B connection.
Value ≥ 0
ce_bodylen
The bolt body length.
Value ≥ 0
ce_boltmaxdiameter
The maximum diameter to be considered a bolt hole.
Value ≥ 0
ce_boltmaxfeatureangle
The maximum feature angle to identify a solid bolt hole.
Value ≥ 0
ce_boltmindiameter
The minimum diameter to be considered a bolt hole.
Value ≥ 0
ce_boltminfeatureangle
The minimum feature angle to identify a solid bolt hole.
Value ≥ 0
ce_boltthread
The bolt thread length.
Value ≥ 0
ce_centered_quad_pos_tol
The quad position tolerance.
Value ≥ 0
ce_centered_quad_scale_tol
The quad scale tolerance.
Value ≥ 0
ce_centered_quad_size_tol
The quad size tolerance
Value ≥ 0
ce_centered_quad_translate_tol
The quad translate tolerance.
Value ≥ 0
ce_cylinder_diameter
Define cylinder using this value as diameter.
Value ≥ 0
ce_cylinder_diameter_factor
Define the cylinder using this value as a factor.
Value ≥ 0
ce_dia_factor
The cylinder bolt diameter factor.
Value ≥ 0
ce_diameter
The diameter required by the realization.
Value ≥ 0
ce_fe_capangle
The angle between an ending cap element face and shell edge.
Value ≥ 0
ce_fe_const_height
The hexa constant thickness.
Value ≥ 0
ce_fe_depth
The penta width.
Value ≥ 0
ce_fe_factor_a
The hexa thickness, by multiplying this value using the smallest shell
                  thickness.
Value ≥ 0
ce_fe_factor_b
The hexa position, by adding this value using the half of the thickness.
Value ≥ 0
ce_fe_featureangle
The feature break angle for locating RBE3 nodes.
Value ≥ 0
ce_fe_hexa_to_washer_offset
The offset from the hexa boundary to the washer inner diameter.
Value ≥ 0
ce_fe_height
The quad position in the vertical direction.
Value ≥ 0
ce_fe_maint_gaps
The gap value between a hexa face and a shell.
Value ≥ 0
ce_fe_offsetangle
The angle between quad and vertical direction.
Value ≥ 0
ce_fe_rbe3radius
The radius defining the circular area for locating RBE3 nodes.
Value ≥ 0
ce_fe_runoffangle
The deviating angle of the quad next to an ending cap element.
Value ≥ 0
ce_fe_tapered_t_angle
The angle of the tapered T weld.
Value ≥ 0
ce_fe_tapered_t_d
The thickness of the tapered T weld.
Value ≥ 0
ce_fe_tapered_t_h
The height of the tapered T weld.
Value ≥ 0
ce_fe_tapered_t_h1
The height of the tapered T weld.
Value ≥ 0
ce_fe_tapered_t_h2
The width of the tapered T weld.
Value ≥ 0
ce_fe_width
The penta depth.
Value ≥ 0
ce_hexa_position_distance
Move hexa by this distance from default position.
Value ≥ 0
ce_jacobian
Fails hexas with Jacobian less than provided value.
Value ≥ 0
ce_l1
The cylinder bolt length for L1 direction.
Value ≥ 0
ce_l1d1
The cylinder bolt diameter for L1 direction.
Value ≥ 0
ce_l2
The cylinder bolt length for L2 direction.
Value ≥ 0
ce_l2d2
The cylinder bolt diameter for L2 direction.
Value ≥ 0
ce_lt_connection_ang
The minimum angle allowed between two shells for T connection.
Value ≥ 0
ce_new_diameter
The diameter value used for punching a new bolt hole during realization.
Value ≥ 0
ce_no_hole_diameter
The diameter value when there is no hole during realization.
Value ≥ 0
ce_normal_angle
The deviation angle allowed for normal projection.
Value ≥ 0
ce_offset
Line connector end offset value.
Value ≥ 0
ce_quad_size
The quad size for the quad transition.
Value ≥ 0
ce_seam_break_len
The break length before the next weld.
Value ≥ 0
ce_seam_elem_len
The hexa element length.
Value ≥ 0
ce_seam_discontinuity_lower_tol
The lower bound tolerance allowed by the weld length.
Value ≥ 0
ce_seam_discontinuity_upper_tol
The upper bound tolerance allowed by the weld length.
Value ≥ 0
ce_seam_weld_len
The weld length before the next break.
Value ≥ 0
ce_spacing
The spacing value for a line or seam connector.
Value ≥ 0
ce_tolerance
The tolerance value specified during connector FE realization.
Value ≥ 0
ce_washer_elem_size
The element size around a bolt hole.
Value ≥ 0
ce_washer_scale_1
The 1st washer's width using a scale of bolt radius.
Value ≥ 0
ce_washer_scale_2
The 2nd washer's width using a scale of bolt radius.
Value ≥ 0
ce_washer_width_1
The 1st washer's width using this value.
Value ≥ 0
ce_washer_width_2
The 2nd washer's width using this value.
Value ≥ 0


double_value
The double value to update for the detail.
reserved
Reserved for future use. Must be set to 0.
force_storage
0 - Do not store user-defined detail.
1 - Store user-defined detail.

","Examples
To set the tolerance to 10.0 for connector
        1:*CE_DetailSetDouble 1 ce_tolerance 10.0 0 0
To set a user-defined double detail ""test"" to a value of 5.0 for connector
        2:*CE_DetailSetDouble 2 ""test"" 5.0 0 1
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
126,*CE_DetailSetInt,"Description
Sets an integer connector detail for a single connector. 
","Inputs

connector_id
The ID of connector to update.
detail_name
The name of the standard integer detail, or user-defined integer detail, to update.
            Standard integer details include:
ce_adjust_diameter
Has different meaning based on ce_hole_option value. 
Case 1: Options to adjust hole diameter during realization. 
0 - Create hole diameter (2D).
1 - Create and adjust hole diameter (2D).


Case 2: Options to use the new diameter during realization.
0 - Do not adjust hole diameter.
1 - Adjust hole diameter (2D).


ce_adjust_hole
Flag to specify whether to adjust the hole or the realization to make the
                  connection successful.
0 - Adjust realization.
1 - Adjust hole position (2D).


ce_allow_recenter
Recenter CWELD elements.
0, 1
ce_allowadjacent
Flag to allow adjacent projections.
0, 1
ce_appliedmassdis
Applied mass distribution type.
0, 1
ce_areastacksize
Density for area connector.
Value ≥ 0
ce_areathicknesstype
Thickness type for area connector.
0, 1
ce_aspect_flag
Fail hexa seam or area, as per aspect ratio check.
0, 1
ce_centered_quad
Allow centered quad mesh imprint.
0, 1
ce_collectorid
Component ID of the connector entity.
ce_configval
FE configuration value of the realized connector.
Value ≥ 0
ce_connectivity
FE connectivity.
0 - Mesh independent 
1 - Mesh dependent + remesh 
2 - Mesh dependent + ensure projection 
3 - Mesh dependent + quad transition 
4 - Mesh dependent + projection and find nodes 
5 - Mesh dependent + find nearest nodes


ce_cweld_option
CWELD options.
1 - GRIDID 
2 - ELEMID 
3 - PARTPAT 
4 - ELPAT 
5 - ALIGN


ce_cweld_suboption
Sub-options for CWELD. The use/availability of sub-options is dependent on
                    ce_ceweld_option.
1 - GA-GB 
2 - GS (face to face) 
3 - GS (point to face)


ce_density
The line or seam density value.
Value ≥ 0
ce_fefactorreverse
Vector reverse flag for seam connectors.
0, 1
ce_fe_acm_numhexa
Hexa cluster pattern.
1 - 1 hexa 
4 - 4 hexa 
8 - 8 hexa 
12 - 12 hexa 
16 - 16 hexa 
32 - 32 hexa


ce_fe_createcap
Allow to create cap elements in the begining and end.
0, 1
ce_fe_density
Number of coats of hexas.
Value ≥ 0
ce_fe_edgesnapping_l
Tolerance options to determine snapping to edge in L connection.
0 - no 
1 - maximum 1 element row 
2 - maximum 2 element rows


ce_fe_edgesnapping_t
Tolerance options to determine snapping to edge in T connection.
0 - no 
1 - maximum 1 element row 
2 - maximum 2 element rows


ce_fe_normal_wt_cal
Allow to normalize RBE3 weights.
0, 1
ce_fe_orthohexa
Allow to make orthogonal faces for a single hexa.
0, 1
ce_fe_proj_hexa_face
Allow to project hexa faces to shell planes.
0, 1
ce_fe_rows
Number of rows of realization.
Value ≥ 0
ce_fe_sharpcorner
Allow a sharp corner during mesh imprint.
0, 1
ce_fe_strips
Number of strips of realization.
Value ≥ 0
ce_fe_tapered_t_input
Options to input parameters for tapered T.
0 - thickness dependent 
1 - angle, H and D 
2 - H1, H2 and D


ce_fe_thck_flag
Options to position hexa between shells. This has different meanings under
                  different realization types.
For spots:
1 - equival (T1+T2)/2 
2 - detached (T1+T2)/2 
3 - shell gap 
4 - mid thickness 
5 - const thickness 
7 - maintain gaps


For seams:
0 - (T1+T2)/2 
1 - shell gap 
2 - mid thickness 
3 - const thickness 
6 - maintain gaps


ce_fesolver
FE solver number.
Value  > 0
ce_fetype
Type value for realized connector as defined in
                    feconfig.cfg file.
Value ≥ 0
ce_fileattribute_opt
File attribute option.
1 - From search file 
2 - From current model 
3 - From connector metadata""


ce_fill_hole
Allow to fill any 2D bolt holes during realization.
0, 1
ce_fill_hole_num
Number of pie pieces to fill a bolt hole during realization.
Value ≥ 0
ce_fill_hole_pattern
Options to what pattern is used to fill a bolt hole during realization.
-1 - pie pieces preserve 
0 - pie pieces= 
1 - 3 quads 
2 - 4 quads 
3 - 9 quads 
4 - 12 quads 
5 - 16 quads 
6 - 60 quads


ce_folderattribute_opt
Folder attribute option.
1 - From search folder 
2 - From current model 
3 - From connector metadata""


ce_forcecollinear
FE force collinear flag.
0, 1
ce_half_spacing
Half spacing offset flag for seams and lines.
0, 1
ce_hexa_position_opt
Options to determine hexa position related to edge.
0 - midpoint 
1 - offset from edge 
2 - positive edge 
3 - negative edge


ce_hexa_tapered_t_position_opt
Options to determine hexa position related to edge.
0 - connector side 
1 - positive side 
2 - negative side 
3 - element normal


ce_hexaoffsetcheck
Consider shell thickness and offset for solid positioning.
0, 1
ce_hole_option
Bolt hole determination options.
0 - consider existing hole only. 
1 - create hole, if none. 
2 - use hole, if available. 
3 - fill and remesh hole, if available.


ce_jacobian_flag
Fail hexa seam or area, as per Jacobian check.
0, 1
ce_layers
The number of thickness layers.
Value ≥ 0
ce_link_option
Link position related to seam connector.
0 - closest 
1 - opposite


ce_n_node_flag
Limit the number of nodes per layer.
0, 1
ce_nonnormal
Allow non-normal projections.
0, 1
ce_num_nodes_per_layer
The number of nodes per layer.
Value ≥ 0
ce_pass_through_ce
Force weld going through connector position.
0, 1
ce_penta_fit_option
Options to fit penta between shells.
1 - fitted 
2 - equilateral 
3 - equilateral/fitted


ce_penta_right_angled
Allow to create right-angled pentas.
0, 1
ce_penta_side_option
Options to the side(s) of penta location.
1 - positive side 
2 - negative side 
3 - both sides


ce_property_option
Property assignment options.
0 - no property 
1 - select property


ce_propertyid
FE property ID.
Value ≥ 0
ce_realizeto
Organize realization results options.
0 - elems to current comp 
1 - elems to connector comp


ce_remesh
Mesh dependent flag.
0, 1
ce_seam_discontinuity
Allow to create discontinuous hexas.
0, 1
ce_snaptonode
FE snap to node flag.
0, 1
ce_spot_rbe_radius_option
Allow to define a circle area to locate nodes for RBE3s.
0, 1
ce_state
Connector entity state.
0, 1
ce_style
Connector style.
0, 1
ce_systems
FE build system flag.
0, 1
ce_trimsurfeachside
Trim surfaces on each side flag for area connector.
0, 1
ce_usercontrol
User control flag.
0, 1
ce_washer_elems
Number of elements of washers.
ce_washer_elems_num
Number of elements around bolt hole.
Value ≥ 0


integer_value
The integer value to update for the detail.
reserved
Reserved for future use. Must be set to 0.
force_storage
0 - Do not store user-defined detail.
1 - Store user-defined detail.

","Examples
To set the thickness (number of layers) to 3 for connector
        1:*CE_DetailSetInt 1 ce_layers 3 0 0
To set a user-defined double detail ""test"" to a value of 5 for connector
        2:*CE_DetailSetInt 2 ""test"" 5 0 1
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
127,*CE_DetailSetString,"Description
Sets a string connector detail for a single connector.
","Inputs

connector_id
The ID of connector to update.
detail_name
The name of the standard string detail, or user-defined string detail, to update.
            Standard string details include:
ce_collectorname
The component name of the connector entity.
ce_configname
The FE config name of the realized connector.
ce_connectivity
The connector FE connectivity.
independent
FE connectivity
dependent
use_shell_node, etc...


ce_fesolver
The FE solver name.
Nastran
ce_fetypename
The realized FE type name defined in the feconfig.cfg
                  file.
ce_fe_fileattribute_entids
The entity IDs related to the file attribute option.
entity_type ID_1 ID_2 ... (example: ""materials 3 6 7"")


ce_fe_folderattribute_entids
The entity IDs related to the folder attribute option.
entity_type ID_1 ID_2 ... (example: ""materials 3 6 7"")


ce_positionstring
A list containing the entity type, followed by the entity IDs selected to create
                  the connector.
ce_propertyscript
The user property script used for realization.
Full absolute path and file name.
ce_state
The connector entity state.
failed
realized
unrealized


ce_style
The connector style.
app_mass
area
bolt
seam
spot


ce_type
The connector entity type based on its creation.
area
line
node/point
seam




string_value
The string value to update for the detail.
reserved
Reserved for future use. Must be set to 0.
force_storage
0 - Do not store user-defined detail.
1 - Store user-defined detail.

","Examples
To set the user property script for connector
        1:*CE_DetailSetString 1 ce_propertyscript ""C:/temp/scripts/connectors/test.tcl"" 0 0
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
128,*CE_DetailSetTriple,"Description
Sets a triple connector detail for a single connector.
","Inputs

connector_id
The ID of connector to update.
detail_name
The name of the standard triple detail, or user-defined triple detail, to update.
            Standard triple details include:
ce_dircords
The coordinates of the direction node.


ce_ijk
The vector definition used for realization.


triple_value1
The first triple value to update for the detail.
triple_value2
The second triple value to update for the detail.
triple_value3
The third triple value to update for the detail.
reserved
Reserved for future use. Must be set to 0.
force_storage
0 - Do not store user-defined detail.
1 - Store user-defined detail.

","Examples
To set the projection vector to (0.0, 1.0, 0.0) for connector
        1:*CE_DetailSetTriple 1 ce_ijk 0.0 1.0 0.0 0 0
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
129,*CE_DetailSetUint,"Description
Sets an unsigned integer as connector detail for a connector specified by ID.
","Inputs

ce_id
ID of the connector to which you wish to attach detail.
detailName
Name for a user-defined unsigned integer detail.
unit_val
The unsigned integer value for the detail.
unknownFlag
Reserved for future use. Must be set to 0.
force_storage_flag
The flag indicating whether or not to store a user-defined detail.
1 =  yes 
0 = no

 .

","Examples
To set a user-defined unsigned integer detail ""test = 2.0"" for connector
        1:*CE_DetailSetUint(1, ""test"", 2.0, 0, 1)
There are currently no standard unsigned integer details, only user-defined ones.
",
130,*CE_EditSeamAndLineDetail,"Description
Edit density, spacing and offset details for seam or line spot connectors specified by
        mark.
","Inputs

ce_markmask
The mark of connectors that needs to be updated.
density
Integer number to split line into number of points. Spacing between points (=
            line_length/density).
spacing
Float number to split line into number of points with specified distance between
            points (= spacing).
half_spacing_offset
Create points from an offset (= spacing/2) from the start and end of line ().
0 = true
1 = false


offset
Create points from an offset (= offset) from the start and end of line.
param1
For future use (must be 0).
param2
For future use (must be 0.0).

","Examples
To set density=10 and offset=1.5 for line connectors 1, 2 and 3:
        *createmark(connectors, 1) 1 2 3
*CE_EditSeamAndLineDetail(1, 10, 0.0, 0, 1.5, 0, 0.0)
The specified details are modified, only if the previous values were not the same. The
        modified connectors are unrealized since editing details affects realization. 
This command is outdated. *CE_DetailSetInt() and
          *CE_DetailSetDouble() are recommended for the purpose of setting
        details for a seam connector.
",
131,*CE_ExportFile,"Description
This command exports selected connectors in the native XML/ASCII format. The exported connectors file in XML format can be
        viewed either in an internet browser or in XML notepad. The ASCII format file can be viewed in any text viewer.
","Inputs

mark_id
The ID of the mark containing the connectors to export. Valid values are 1 and 2.
ce_style
Filter the specific type of connector to exported. Valid values are: 
all
spot
bolt
apply_mass
seam
area


filename
The full path and filename of the output file (.xml or
              .mcf extension).
header_string
Optional string information that is written out only in ASCII export.
with_md
Flag to indicate whether to write metadata information. Valid values are: 
0 - Metadata is not written 
1 - Metadata is written


options
Export format: 
1 - ASCII (.mcf)
3 - XML (.xml)


reserved1
Reserved for future use. Must be set to """".
reserved2
Reserved for future use. Must be set to 0.

","Examples
To export all of the displayed connectors in XML format to the file
          C:/ce_info.xml, including all
        metadata:*createmark connectors 1 ""displayed""
*CE_ExportFile 1 ""all"" ""C:/ce_info.xml"" """" 1 3 """" 0
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
132,*CE_ExportMasterConnectorsFile,"Description
This command exports selected connectors information into a master connectors file.
","Inputs

mark_id
The ID of the mark containing the connectors to export. Valid values are 1 and 2.
filename
The full path and filename of the output file.
header_string
Optional string information to include in the header. It must start with a # or $
            sign.
with_md
Indicates whether to write metadata information. Valid values are: 
0 - Metadata is not written 
1 - Metadata is written



","Examples
To export all of the displayed connectors to a master connectors file named
          C:/ce_info.txt, including all metadata, with a
        header:*createmark connectors 1 ""displayed""
*CE_ExportMasterConnectorsFile 1 ""C:/ce_info.txt"" ""#mcf file"" 1
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
133,*CE_FE_1DQuality,"Description
Checks the quality of 1D elements (welds) created by realizing connector entity (CE). It
        places all failed connectors on an output mark and highlights them. 
","Inputs

ce_inmark
Mark of displayed connectors.
entities
Only quality checks for Elements are now supported.
outputmark
All connectors that contain FE (welds) that failed quality check criteria are placed
            on this mark. Mark contains only connectors.
free1d
Check if any connectors realized welds that are not connected to the mesh. 
1 - turned on.
length_flag
Check if the length of FE (welds) exceeds a certain value specified by the
              length parameter. 
1 - turned on.
length
The value of the length of the weld that should not be exceeded. Used in conjunction
            with length_flag.
angle_flag
Check if the angle between the FE (welds) and the shell element normal exceeds the
            values pecified by the angle parameter. 
1 - turned on.
angle
The orientation that the weld should not exceed with respect to the shell normal. A
            proper weld is oriented along the shell normal. Used in conjunction with
              angle_flag.

","Examples
To check all the quality options of FE (weld elements) in a realized connector with IDs 1,
        2, and 3. Let the value of length be 3.0 and the value of the angle be 12.0. The failed
        connectors are placed on mark 2 and highlighted.
        *createmark(connectors,1) 1 2 3
*CE_FE_1DQuality(1,elements,2,1,1,3.0,1,12.0)
",
134,*CE_FE_Absorb,"Description
Absorbs certain FE information into connectors.
","Inputs

create_flag
0 - Spot connectors 
1 - Seam/area connectors
curr_solver
The current solver name.
num_body_cfgs
The size of the connector body configuration list.
body_cfgs
The connector body configuration list. Must be enclosed in quotes.
num_head_cfgs
The size of the connector head configuration list.
head_cfgs
The connector head configuration list. Must be enclosed in quotes.
elem_filter
A flag indicating whether to use the displayed or selected elements:0 - Displayed
            elements 
1 - Selected elements. An integer array containing the element IDs must be created
            using the *createarray command.
elem_filter_size
Integer indicating the size (number of elements) in the elem_filter
            array created using *createarray.
string_array
A string array containing optional details for absorb. 
Spot connectors:
check_for_material=<value>
0 - Do not check for material for mat100 (hexa)
1 - Check for material for mat100 (hexa)
combine=<value>
0 - Do not combine in case of equivalent body nodes
1 - Combine in case of equivalent body nodes
conn_at_centernode=<value>
0 - Do not enable Connector at Centernode for rbe3 (load transfer)
1 - Enable Connector at Centernode for rbe3 (load transfer)
force_proj=<value>
0 - Do not enable ACM pattern recognition
1 - Enable ACM pattern recognition
link_by_card=<value>
0 - Do not find link entities by card
1 - Find link entities by card
link_by_interface=<value>
0 - Do not find link entities by interface
1 - Find link entities by interface
mcf=<file>
The file name for the master connection file.
org=<value>
0 - Use current component 
1 - Move connectors to FE component
rul=<rule>
The re-connect rule ""None"", ""User id"" or ""User name"".
shell_connect=<type>
""body"", ""head"", ""projs"", or ""none"".
t_connect=<type>
""body"", ""head"", ""projs"", or ""none"".
thickness_type=<type>
The spot connector thickness type:
1 - equival (T1+T2)/2 
3 - shell gap 
5 - const thickness
tol=<value>
The maximum distance allowed between the connector and each of its links.
type2_interface=<value>
0 - Do not find link entities by interface for type2 (spring)
1 - Find link entities by interface for type2 (spring)
weld_cfg_name=<name>
The type of FE realization that needs to be converted to connectors.
weld_type_num=<id>
The selected weld type ID.
weld_type_name=<name>
The selected weld type name.


Seam/area connectors:
area_absorption=<value>
0 - Do not absorb as area 
1 - Absorb as area if possible
area_headonly=<value>
0 - Do not only absorb FE with heads as area 
1 - Only absorb FE with heads as area
area_in_middle=<value>
0 - Do not move area to the middle position 
1 - Move area to the middle position
cluster_identify=<value>
0 - Do not absorb single element cluster as area 
1 - Absorb single element cluster as area
group_links=<value>
0 - Do not organize the links into two groups 
1 - Organize the links into two groups
mcf=<file>
The file name for the master connection file.
org=<value>
0 - Use current component 
1 - Move connectors to FE component
rul=<rule>
The re-connect rule ""None"", ""User id"" or ""User name"".
seam_absorption=<value>
0 - Do not absorb as seam 
1 - Absorb as seam if possible
seam_headonly=<value>
0 - Do not only absorb FE with heads as seam 
1 - Only absorb FE with heads as seam
select_special=<value>
0 - Do not enable enhanced approach 
1 - Enable enhanced approach
tie_contact=<value>
0 - Do not enable With tie contact 
1 - Enable With tie contact
tol=<value>
The maximum distance allowed between the connector and each of its links.


number_of_strings
The size of the options string array.

","Examples
Absorb spot connectors:
*createarray 1 0
*createstringarray 10 ""weld_type_num=74"" ""weld_type_name=acm (general) "" ""weld_cfg_name=custom"" ""shell_connect=head"" ""t_connect=body"" ""mcf="" ""org=0"" ""rul=None"" ""tol=20.0"" ""thickness_type=1""
*CE_FE_Absorb 0 ""nastran"" 1 ""208"" 1 ""56"" 1 1 1 10
Absorb seam connectors:
*createarray 1 0
*createstringarray 11 ""seam_absorption=1"" "" seam_headonly=1"" ""area_absorption=0"" ""area_headonly=0""  ""area_in_middle=1"" ""cluster_identify=0"" ""mcf="" ""org=0"" ""rul=None"" ""tol=20.0"" ""group_links=0""
*CE_FE_Absorb 1 ""nastran"" 2 ""208 206"" 0 """" 1 1 1 11
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
135,*CE_FE_CreateDCC,"Description
Creates all connector control default entities.
","
Inputs


reserved
Reserved for future use, must be set to 0.

","Examples
To create all connector control default entities:
*CE_FE_CreateDCC 0
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
136,*CE_FE_CreateUCCFromDCC,"Description
Creates a connector control from a connector control default.
","
Inputs


cc_name
The name of the connector control to create.
ccd_name
The name of the connector control default to use.

","Examples
Create a connector control named ""my_acm"" from the connector control default
        ""acm_(general)_spot_nastran_template"":
*CE_FE_CreateUCCFromDCC ""my_acm"" ""acm_(general)_spot_nastran_template""
","Errors
Incorrect usage results in a Tcl error. To detect
        errors, you can use the catch
        command:if { [ catch {command_name...} ] } {
   # Handle error
}
"
137,*CE_FE_GlobalFlags,"Description
Set global flags for connectors to perform different operations.
","Inputs

ce_fe_flag
0 - false
1 - true 
function
A function value of (0) sets the global flag to delete FE with
            connectors. If ce_fe_flag is true, the realized FE is deleted with
            connectors. If it is false, then only connectors are deleted.

","Examples
Set the global flag to delete FE with
        connectors:*createmark(connectors, 1) 1 2 3
*CE_FE_GlobalFlags(1, 0)
*deletemark(connectors, 1)
When trying to delete FE with connectors, this command needs to be called before the
        connector delete function.
",
